name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Tallahassee,2025-04-09,76,49.1,61.3,76,49.1,61.2,45,58.7,0,0,0,,0,0,9.2,6,352,1019.4,2.9,10,321.2,27.8,9,10,2025-04-09T07:16:18,2025-04-09T20:01:23,0.38,Clear,Clear conditions throughout the day.,clear-day,"K2J9,KTLH,KBGE,1080W,KTVI"
Tallahassee,2025-04-10,80,49.9,64.6,80,49.9,64.6,51.9,67.6,0,2,0,,0,0,11.4,8.1,228.7,1020.3,3.3,9.7,310.3,26.8,9,10,2025-04-10T07:15:09,2025-04-10T20:02:01,0.42,Clear,Clear conditions throughout the day.,clear-day,
Tallahassee,2025-04-11,76.9,58,66.5,76.9,58,66.5,52.9,64.5,0,23,0,,0,0,17.2,11.4,289.2,1015.6,20.7,10.1,279,24.1,8,10,2025-04-11T07:14:00,2025-04-11T20:02:39,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Tallahassee,2025-04-12,70.6,52.4,61,70.6,52.4,61,44.6,56.4,0,12,0,,0,0,18.3,9.8,321.1,1017.4,4.5,14.6,331,28.7,9,10,2025-04-12T07:12:51,2025-04-12T20:03:17,0.5,Clear,Clear conditions throughout the day.,clear-day,
Tallahassee,2025-04-13,74.9,49.2,61.1,74.9,48.3,61,44,55.6,0.209,0,8.33,rain,0,0,12.1,4.7,330.5,1019.8,1.5,15,332,28.8,9,10,2025-04-13T07:11:43,2025-04-13T20:03:54,0.52,Clear,Clear conditions throughout the day.,clear-day,
Tallahassee,2025-04-14,81.6,52.6,65.8,80.8,52.6,65.7,50.9,61.7,0,0,0,,0,0,12.3,5.4,225,1020.2,2.2,15,329.6,28.4,9,10,2025-04-14T07:10:36,2025-04-14T20:04:32,0.56,Clear,Clear conditions throughout the day.,clear-day,
Tallahassee,2025-04-15,84.1,57.8,69.8,83.6,57.8,69.7,57.7,68.8,0,1,0,,0,0,13.2,6.5,242.7,1018.1,23.1,15,307.8,26.5,8,10,2025-04-15T07:09:29,2025-04-15T20:05:10,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Tallahassee,2025-04-16,82.5,55.8,69.3,81.4,55.8,69.2,53.9,61.1,0,6.5,0,,0,0,11.6,5.8,325.1,1021,23.8,15,294.5,25.2,8,10,2025-04-16T07:08:23,2025-04-16T20:05:49,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Tallahassee,2025-04-17,81.6,52.4,64.8,79.6,52.4,64.5,39,41.6,0,3.2,0,,0,0,14.3,6,69.8,1021.2,56.8,15,323.8,27.8,10,10,2025-04-17T07:07:17,2025-04-17T20:06:27,0.66,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
Tallahassee,2025-04-18,83.2,56.9,68.2,80.9,56.9,67.8,45.7,47.7,0,12.9,0,,0,0,18.1,11.4,176,1020.1,24.1,15,323.8,28.1,9,10,2025-04-18T07:06:12,2025-04-18T20:07:05,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Tallahassee,2025-04-19,87.3,56.6,70.8,85.5,56.6,70.3,52.5,56.5,0.02,25.8,8.33,rain,0,0,18.1,7.6,249.1,1018.6,16.9,15,307,26.8,9,10,2025-04-19T07:05:08,2025-04-19T20:07:44,0.72,Clear,Clear conditions throughout the day.,clear-day,
Tallahassee,2025-04-20,90.2,64.1,74.4,89.5,64.1,74.4,60.5,64.5,0.004,22.6,4.17,rain,0,0,15.4,10.5,245,1017.4,34.6,15,241.1,20.8,9,10,2025-04-20T07:04:04,2025-04-20T20:08:22,0.75,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
Tallahassee,2025-04-21,89.7,65,75.3,88.9,65,75.3,60.7,63.4,0,12.9,0,,0,0,18.3,8.3,306.3,1018,67.7,15,213,18.5,9,10,2025-04-21T07:03:02,2025-04-21T20:09:01,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Tallahassee,2025-04-22,90.2,65.7,76.3,88,65.7,75.8,57.7,55.9,0,12.9,0,,0,0,19.2,6.7,138.5,1019.4,60.2,15,307.9,26.7,9,10,2025-04-22T07:02:00,2025-04-22T20:09:40,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Tallahassee,2025-04-23,87.9,65.6,74.1,87.3,65.6,74.1,61.6,67.1,0,19.4,0,,0,0,12.3,5.8,198.3,1019.1,35.6,15,223.8,19.4,9,10,2025-04-23T07:00:58,2025-04-23T20:10:18,0.86,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
